,Category,Genre,Spotify URL,Intended Start [sec],BPM,Spectral Flux Min.,Spectral Flux Max.,Spectral Flux Mean,Spectral Flux Std.,Spectral Centroid Min,Spectral Centroid Max,Spectral Centroid Mean,IOI Variance Coeff,Syncopation Degree,Syncopation Ratio
Bee Gees - Stayin' Alive (Official Music Video).mp3,Familiar Groovy,Disco,https://open.spotify.com/intl-de/track/79hJaqmVdohltPBNN6BULM?si=6ba365e7f6e74534,0.0,103.43781125498008,0.0,1.0,0.2498077,0.15690704,0.0,8531.456401262072,3558.3736716715043,0.39106512882898786,1.0,77.25490196078431
Alcazar = Crying At The Discoteque (Radio Edit).mp3,Familiar Groovy,Dance-Pop,https://open.spotify.com/intl-de/track/6GOb5OnmhfPpCfs2p38l36?si=e3bfbb6f994a4ccf,0.0,138.126423690205,0.0,1.0,0.31302845,0.1596949,0.0,9970.60185046953,2800.5827185762387,0.3761747343561129,0.5693233341066959,61.388888888888886
Kiss - I Was Made For Lovin' You.mp3,Familiar Groovy,Disco-Rock,https://open.spotify.com/intl-de/track/6S9q9mEifNdnTNlli2xSuD?si=41c50419402e4c19,0.0,128.18421426453875,0.0,1.0,0.25318083,0.15501487,0.0,8314.464303927514,3434.6179425145365,0.5431583971885746,1.0,70.24
Village People - YMCA (Original Version 1978).mp3,Familiar Groovy,Disco,https://open.spotify.com/intl-de/track/3ypMsqUwfNFMiooMLVHfkp?si=e22578994fbc459c,0.0,126.84506042516017,0.0,1.0,0.2501584,0.18461293,0.0,8449.264048218927,3498.8143699474354,0.5488793008835666,0.6059053632110161,65.78483245149911
Queen  Another One Bites The Dust (Official Lyric Video).mp3,Familiar Groovy,Funk Rock,https://open.spotify.com/intl-de/track/5vdp5UmvTsnMEMESIF2Ym7?si=c373fa0161ab44c1,0.0,109.95064182209067,0.0,1.0,0.18812384,0.17128447,0.0,9711.094760262673,2597.6330280418842,0.565162990038379,1.0,100.0
Wham! - Wake Me Up Before You Go-Go (Official Video).mp3,Familiar Groovy,Dance-Pop,https://open.spotify.com/intl-de/track/0ikz6tENMONtK6qGkOrU3c?si=40272c64cb31484a,0.0,81.34517045454545,0.0,1.0,0.26280314,0.14691582,0.0,9317.83297775116,3106.8582542962076,0.6933863674255567,0.5817217342669768,65.33996683250415
Forget Me Nots.mp3,Familiar Groovy,R&B,https://open.spotify.com/intl-de/track/5ERZGchTi6sysVmA913Ryx?si=a02f8658e72a4674,0.0,114.04255417841767,0.0,1.0,0.19867928,0.16627471,0.0,8896.413672445697,2766.825033881301,0.4177650658632761,1.0,92.67676767676768
Bruce Springsteen - Dancing In The Dark.mp3,Familiar Groovy,Rock,https://open.spotify.com/intl-de/track/7FwBtcecmlpc1sLySPXeGE?si=63de6a73da3c409a,0.0,74.48951503928731,3.1758877e-12,1.0,0.28161108,0.14363888,1363.6617520799941,11057.186623402129,3418.600912562639,0.660613491214636,0.5135192622180259,56.306306306306304
Maniac.mp3,Familiar Groovy,Rock,https://open.spotify.com/intl-de/track/3NJQ8R9DNMM3J4TdGA6C2V?si=ad42e156aa094f7e,0.0,79.49485802517091,0.0,1.0,0.26194245,0.15766814,0.0,8730.229193880783,2509.4417278314536,0.3309606109458968,0.7228423655204848,68.6706181202371
Tom Jones & Mousse T  - Sexbomb (Official Music Video).mp3,Familiar Groovy,Dance-Pop,https://open.spotify.com/intl-de/track/7GHKA8GIMcND6c5nN1sFnD?si=c1c867d00ee74dd1,0.0,122.96302704429303,0.0,1.0,0.30463314,0.15358804,0.0,8229.452651780692,2834.1792245538822,0.4633646781055441,1.0,76.81307456588355
Don't Stop 'Til You Get Enough.mp3,Familiar Groovy,Disco-Funk,https://open.spotify.com/intl-de/track/46eu3SBuFCXWsPT39Yg3tJ?si=4f5269ddfdee4206,30.0,118.89753704388957,0.0,1.0,0.22539432,0.17964856,0.0,8615.575023807833,3543.533764991482,0.5099186586941792,0.5483881154566025,63.76429199648197
Take Me To The Limit (Radio Version).mp3,Familiar Groovy,Eurodance,https://open.spotify.com/intl-de/track/6sJkAC0ptlNjAJo8PPBvnY?si=e1c42fc0bbfe444f,0.0,157.70593619246864,0.0,1.0,0.3243019,0.17220272,0.0,7675.184604454549,3287.183356696313,0.5238395488809926,0.5924729832304069,63.43072573044298
The Stickmen Project - Tears In Ibiza (ft. ARCO).mp3,Unfamiliar Groovy,Dance-Pop,https://open.spotify.com/intl-de/track/7A0xA68c4NiTvbWWAsIsoN?si=896b1ce666494b64,0.0,127.6163012756856,3.6821564e-08,1.0,0.21663904,0.16593705,142.41848336594143,8474.724763621205,2874.223804596124,0.6857517704554099,0.6138241012787736,62.695035460992905
Shakedown 'At Night' (Purple Disco Machine Remix).mp3,Unfamiliar Groovy,Disco House,https://open.spotify.com/intl-de/track/4tTpmg8AGcChIUnuio4CtR?si=dbb69bfd9c8847bc,0.0,121.99887888538957,0.0,1.0,0.17992625,0.15046729,0.0,12762.346435275915,3368.8587162898743,0.7866792407395332,0.5064419514127381,60.84452975047984
